Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,mobile_uses
8,48,No,5,4,40,2
9,98,Yes,7,7,100,0
4,44,Yes,9,0,23,3
1,62,No,4,4,36,3
1,72,No,7,0,47,2
4,77,Yes,8,6,60,2
7,95,No,9,6,83,1
2,53,Yes,8,9,33,3
3,56,No,5,7,36,3
1,96,No,8,6,74,1
5,58,No,4,8,42,2
1,72,Yes,5,7,47,2
8,40,Yes,7,7,31,3
1,52,No,5,2,26,3
1,85,Yes,7,9,58,2
2,66,No,6,3,42,2
2,45,Yes,4,3,18,3
6,98,No,4,0,85,1
7,45,Yes,7,5,36,3
5,72,Yes,8,1,58,2
1,69,Yes,9,8,45,2
1,85,Yes,8,0,60,2
3,74,Yes,6,0,56,2
2,62,Yes,7,9,42,2
5,49,No,6,5,33,3
6,90,No,7,0,77,1
7,58,Yes,6,2,51,2
4,90,No,7,9,72,1
7,67,Yes,4,1,57,2
8,62,No,6,8,53,2
1,43,No,6,4,16,3
6,59,No,7,5,45,2
8,58,No,5,1,49,2
5,81,Yes,5,7,67,2
4,66,No,4,5,49,2
2,96,No,8,7,73,1
6,73,No,8,7,65,2
6,43,Yes,4,0,27,3
1,95,No,8,6,72,1
9,77,Yes,9,1,74,1
6,46,Yes,9,7,38,3
3,87,No,9,1,67,2
4,46,Yes,9,3,28,3
4,89,No,7,1,73,1
3,91,No,5,6,72,1
3,65,No,4,4,42,2
3,65,No,7,8,47,2
4,93,No,9,4,77,1
7,58,No,4,7,49,2
4,48,No,5,1,30,3
9,59,Yes,8,2,54,2
1,81,Yes,7,5,56,2
8,84,No,5,6,75,1
7,89,No,4,9,78,1
2,55,Yes,6,7,32,3
8,93,No,7,2,89,1
1,56,Yes,4,6,29,3
9,61,Yes,4,7,57,2
9,52,No,5,9,48,2
2,51,No,4,5,27,3
7,49,Yes,7,3,38,3
3,40,Yes,9,5,18,3
7,71,No,7,8,66,2
9,69,No,4,2,65,2
4,47,Yes,5,1,27,3
1,60,Yes,7,4,33,3
2,61,Yes,6,6,37,3
1,57,No,9,2,29,3
5,41,No,8,4,26,3
5,87,No,5,3,72,1
7,83,Yes,5,6,77,1
9,48,Yes,8,1,45,2
9,42,No,8,6,41,2
3,93,Yes,7,1,73,1
3,65,Yes,4,2,43,2
3,60,Yes,4,4,39,3
4,69,Yes,6,6,54,2
8,67,Yes,9,5,62,2
6,75,No,4,6,63,2
8,65,No,6,5,59,2
1,73,No,6,0,46,2
8,47,No,5,4,42,2
4,49,No,5,0,30,3
1,87,Yes,9,6,63,2
8,94,Yes,7,3,89,1
4,82,Yes,8,4,62,2
6,89,No,8,0,77,1
8,93,Yes,9,7,88,1
4,53,Yes,6,3,35,3
3,79,Yes,9,2,60,2
9,94,No,8,0,92,0
3,54,Yes,6,3,38,3
9,56,Yes,8,2,56,2
2,92,No,7,7,70,1
2,57,No,5,8,35,3
2,71,Yes,5,4,47,2
6,77,No,6,8,66,2
3,62,Yes,9,0,43,2
9,85,No,8,6,81,1
4,62,Yes,4,6,43,2
1,74,Yes,7,5,46,2
4,78,No,8,3,61,2
1,54,No,4,8,27,3
5,92,No,7,2,77,1
4,63,No,7,0,43,2
8,67,Yes,5,1,60,2
8,55,No,6,2,48,2
7,55,Yes,8,1,47,2
3,79,Yes,7,5,60,2
1,78,Yes,8,6,53,2
1,45,No,7,4,19,3
3,41,Yes,9,4,23,3
6,93,Yes,5,6,81,1
7,52,No,6,5,41,2
6,83,Yes,4,7,71,1
6,86,Yes,4,8,75,1
6,98,Yes,9,1,89,1
3,48,No,5,1,28,3
6,73,Yes,7,0,60,2
8,56,Yes,5,6,54,2
2,66,Yes,6,3,41,2
5,68,No,4,8,52,2
1,76,No,8,5,53,2
1,82,No,4,6,52,2
5,61,Yes,6,6,47,2
3,90,Yes,7,7,71,1
4,63,Yes,5,3,42,2
3,46,Yes,4,2,21,3
1,73,Yes,4,2,48,2
1,87,No,8,9,64,2
5,51,Yes,5,7,38,3
6,62,Yes,8,2,49,2
3,54,No,8,7,35,3
9,72,No,7,1,73,1
5,96,Yes,4,4,81,1
8,52,No,9,4,47,2
1,62,No,5,6,36,3
5,77,No,7,4,63,2
3,71,Yes,9,8,52,2
1,84,No,7,2,58,2
4,89,Yes,7,8,77,1
5,74,No,6,0,58,2
7,40,Yes,6,2,33,3
1,86,Yes,7,3,67,2
3,97,Yes,6,5,76,1
2,84,No,5,9,62,2
9,44,No,4,7,37,3
6,96,No,9,6,86,1
3,52,Yes,5,7,37,3
8,93,No,4,5,88,1
8,44,No,6,5,38,3
2,99,Yes,9,5,76,1
6,71,No,5,2,57,2
7,90,Yes,8,9,82,1
2,60,No,7,3,35,3
2,63,Yes,4,5,41,2
1,99,Yes,4,6,75,1
8,57,No,8,2,51,2
1,60,Yes,8,3,34,3
9,93,No,7,5,92,0
6,49,No,6,0,39,3
7,63,No,5,6,56,2
7,79,No,5,0,69,2
3,86,Yes,5,9,69,2
2,60,Yes,6,8,40,2
9,64,Yes,7,9,63,2
8,91,No,5,8,86,1
7,99,No,4,8,89,1
9,96,Yes,4,3,94,0
4,98,Yes,4,1,79,1
4,62,No,8,6,44,2
1,61,No,8,3,33,3
8,43,No,6,4,36,3
3,73,Yes,5,0,50,2
7,95,No,8,9,94,0
2,45,Yes,4,5,22,3
2,67,No,8,6,44,2
7,70,Yes,4,2,60,2
6,74,No,5,9,64,2
3,78,Yes,6,1,58,2
9,81,Yes,7,9,78,1
6,62,Yes,7,6,51,2
6,45,No,4,0,30,3
1,55,Yes,8,1,29,3
4,41,Yes,8,2,22,3
6,63,No,4,3,51,2
6,56,Yes,5,4,45,2
5,84,Yes,4,3,70,1
1,40,No,5,9,10,3
8,45,Yes,6,2,38,3
5,44,No,6,0,30,3
5,96,Yes,4,6,82,1
7,84,No,6,9,74,1
4,99,Yes,8,5,87,1
6,94,Yes,5,1,77,1
4,89,Yes,7,1,72,1
3,68,No,7,2,51,2
7,51,Yes,6,7,40,2
8,78,Yes,5,7,72,1
4,86,No,8,9,68,2
2,42,No,7,9,22,3
3,87,No,8,9,67,2
1,40,Yes,8,9,18,3
8,66,Yes,7,7,64,2
3,87,Yes,7,6,66,2
7,63,No,6,1,50,2
5,83,No,5,0,68,2
5,58,Yes,4,5,44,2
7,98,Yes,5,7,90,0
9,47,No,4,0,41,2
5,94,No,7,2,83,1
1,83,No,8,0,57,2
1,86,Yes,5,9,64,2
2,41,No,8,8,18,3
6,69,No,5,6,62,2
9,69,No,9,7,66,2
8,88,No,5,8,85,1
5,78,Yes,8,2,62,2
1,84,No,9,9,62,2
7,71,Yes,6,1,62,2
5,40,Yes,7,5,26,3
6,77,No,6,4,66,2
7,52,No,6,3,43,2
3,50,Yes,5,5,30,3
3,49,No,7,5,25,3
5,87,Yes,9,2,77,1
6,98,No,5,1,88,1
9,65,Yes,4,8,62,2
5,95,Yes,5,7,82,1
1,94,Yes,9,3,73,1
4,59,No,8,5,44,2
5,56,Yes,5,2,40,2
5,56,Yes,4,7,39,3
7,43,No,5,2,34,3
4,44,No,9,1,27,3
1,99,Yes,4,6,73,1
5,62,Yes,7,2,46,2
7,85,No,9,8,78,1
6,91,Yes,5,2,80,1
5,49,No,4,7,33,3
4,85,No,9,1,68,2
2,67,No,7,8,45,2
4,72,Yes,8,0,56,2
3,82,No,6,2,58,2
1,65,Yes,4,1,37,3
8,94,Yes,8,6,88,1
5,89,No,7,4,75,1
4,87,No,8,7,70,1
8,68,No,5,1,62,2
7,66,No,6,7,57,2
2,57,Yes,4,6,32,3
1,79,Yes,9,4,53,2
4,99,No,7,1,82,1
8,49,Yes,6,9,41,2
2,97,No,7,6,75,1
3,81,Yes,8,9,63,2
1,44,Yes,7,3,17,3
1,49,Yes,7,3,24,3
3,89,No,8,7,69,2
5,60,Yes,8,5,47,2
3,63,Yes,6,8,43,2
1,77,Yes,4,1,48,2
1,42,Yes,8,4,17,3
8,79,No,6,5,75,1
2,70,Yes,7,7,54,2
3,80,No,7,3,59,2
2,76,No,9,6,56,2
3,41,Yes,5,6,20,3
7,41,Yes,8,3,34,3
1,78,No,6,0,54,2
8,88,No,9,2,83,1
2,81,No,6,1,59,2
3,83,Yes,4,2,63,2
9,73,Yes,9,4,72,1
7,81,No,6,0,70,1
4,59,No,8,4,41,2
5,72,No,6,1,54,2
2,43,Yes,5,3,21,3
8,84,Yes,7,5,83,1
4,83,No,7,8,64,2
9,50,Yes,9,9,51,2
5,81,No,6,5,66,2
9,86,Yes,6,9,83,1
4,44,No,6,1,26,3
5,64,Yes,6,7,49,2
9,88,Yes,5,4,85,1
8,99,Yes,8,8,95,0
3,76,Yes,5,9,56,2
1,73,Yes,5,8,50,2
3,48,Yes,5,3,23,3
4,45,Yes,7,0,26,3
2,57,No,5,8,30,3
1,53,No,6,8,28,3
7,58,No,5,7,48,2
8,53,Yes,6,4,46,2
7,79,Yes,9,4,73,1
5,56,Yes,8,9,45,2
1,99,No,7,5,76,1
7,74,No,8,0,71,1
7,68,No,9,8,60,2
9,81,No,8,4,77,1
3,56,No,7,6,36,3
9,98,No,6,7,96,0
1,82,Yes,9,4,62,2
1,47,No,9,2,22,3
4,40,Yes,6,5,21,3
9,84,No,6,6,79,1
6,92,No,7,3,82,1
3,75,Yes,5,8,55,2
1,46,Yes,4,3,22,3
4,85,Yes,5,9,70,1
9,44,No,5,1,37,3
3,63,No,8,8,42,2
9,67,Yes,4,3,64,2
7,82,No,6,3,72,1
4,56,Yes,5,9,42,2
3,76,No,7,0,56,2
5,59,No,5,1,43,2
5,42,No,6,2,24,3
3,76,Yes,5,6,55,2
9,65,No,9,8,64,2
4,54,Yes,8,4,34,3
5,90,Yes,8,3,78,1
4,87,Yes,5,1,71,1
5,47,Yes,8,6,33,3
7,52,Yes,7,5,46,2
9,87,Yes,4,6,86,1
7,42,Yes,5,7,34,3
5,40,Yes,7,8,26,3
7,48,Yes,9,9,44,2
5,70,No,7,4,53,2
3,80,Yes,7,4,61,2
7,93,No,9,3,84,1
2,65,Yes,6,2,40,2
9,56,No,5,6,53,2
1,95,No,5,4,67,2
6,73,No,5,6,58,2
7,48,No,4,1,41,2
8,95,No,7,8,89,1
9,90,No,5,8,85,1
2,52,Yes,8,8,33,3
2,44,Yes,6,4,20,3
5,80,Yes,9,9,66,2
5,52,Yes,9,8,38,3
6,40,Yes,4,0,25,3
3,64,Yes,9,1,43,2
8,86,No,6,9,79,1
1,43,Yes,7,4,16,3
6,75,No,9,4,67,2
4,91,No,9,5,80,1
1,49,No,8,7,26,3
7,67,No,7,0,57,2
9,96,No,5,9,91,0
4,45,No,6,8,29,3
4,66,Yes,9,3,48,2
6,95,No,8,7,84,1
3,51,No,6,4,33,3
6,91,Yes,4,0,82,1
7,87,Yes,8,8,81,1
3,42,Yes,4,7,24,3
7,85,Yes,9,4,81,1
3,72,Yes,8,3,54,2
2,49,Yes,5,7,25,3
4,70,Yes,6,8,53,2
8,54,No,6,6,48,2
9,46,Yes,7,3,40,2
7,75,No,8,6,66,2
1,53,Yes,8,5,29,3
3,95,Yes,4,2,73,1
9,87,No,8,9,89,1
1,53,Yes,6,2,27,3
9,42,Yes,8,0,40,2
8,88,Yes,7,4,83,1
1,92,Yes,7,7,69,2
6,85,Yes,6,5,72,1
5,89,Yes,6,7,77,1
6,42,Yes,6,6,32,3
5,61,No,8,1,49,2
6,58,Yes,8,7,44,2
5,74,No,5,3,57,2
5,51,No,9,4,34,3
4,93,No,9,7,76,1
3,44,No,4,4,22,3
3,49,No,8,4,30,3
4,80,No,5,5,67,2
9,72,No,5,6,71,1
2,52,Yes,7,8,29,3
9,74,Yes,8,6,74,1
1,90,Yes,5,5,67,2
1,71,No,7,9,46,2
5,50,Yes,4,3,34,3
6,87,No,7,9,76,1
6,77,No,4,1,64,2
3,63,Yes,9,8,46,2
7,74,No,9,9,68,2
9,58,No,6,4,58,2
8,45,Yes,6,4,41,2
6,79,No,7,2,64,2
8,93,Yes,6,2,84,1
5,84,No,8,0,70,1
8,83,No,7,4,77,1
4,81,Yes,5,2,60,2
8,74,Yes,8,1,65,2
2,43,Yes,7,8,21,3
5,72,No,9,9,60,2
9,52,No,4,5,48,2
4,95,Yes,6,2,77,1
6,75,Yes,6,6,63,2
1,93,Yes,6,8,68,2
9,82,No,7,8,81,1
1,58,No,8,0,29,3
5,82,Yes,4,1,66,2
4,51,Yes,6,7,36,3
3,50,Yes,8,0,29,3
6,45,No,5,2,32,3
2,51,Yes,9,6,31,3
3,66,Yes,5,7,45,2
5,80,Yes,4,4,65,2
9,64,No,6,1,57,2
2,81,No,5,2,58,2
8,42,Yes,9,8,38,3
2,42,No,8,9,22,3
5,59,Yes,8,6,48,2
7,67,Yes,5,0,59,2
8,62,Yes,6,2,58,2
1,87,Yes,9,8,62,2
6,42,No,4,6,30,3
1,81,Yes,6,1,56,2
2,63,Yes,7,5,40,2
1,82,No,5,8,59,2
5,79,Yes,7,3,65,2
9,45,No,5,9,43,2
6,59,Yes,4,1,48,2
1,50,Yes,6,2,24,3
1,71,Yes,9,6,51,2
2,99,Yes,6,3,81,1
9,66,No,5,6,62,2
3,60,Yes,8,4,43,2
1,83,No,7,7,63,2
5,87,No,9,7,73,1
7,89,No,9,4,76,1
6,52,Yes,6,6,43,2
1,61,No,6,5,34,3
5,74,No,5,7,57,2
5,86,No,8,8,72,1
6,61,Yes,7,4,47,2
3,67,Yes,8,6,52,2
5,60,No,9,0,49,2
7,85,No,8,7,77,1
5,57,Yes,5,2,41,2
5,70,No,8,0,56,2
5,99,No,7,5,89,1
3,85,No,9,7,65,2
1,76,Yes,4,2,49,2
5,60,No,9,0,48,2
9,53,No,4,2,47,2
1,64,Yes,7,4,37,3
3,66,No,9,7,48,2
4,79,Yes,9,8,61,2
1,99,Yes,9,8,77,1
1,99,Yes,9,3,75,1
8,62,No,5,7,57,2
2,70,No,6,4,45,2
8,86,No,9,2,82,1
7,99,No,5,4,90,0
2,68,No,7,1,42,2
6,86,No,9,5,74,1
6,69,No,8,0,60,2
3,90,No,9,5,73,1
2,65,Yes,9,4,40,2
1,59,No,4,8,32,3
6,77,No,8,6,67,2
5,58,Yes,9,5,46,2
9,66,No,9,6,65,2
1,64,Yes,9,9,42,2
7,79,No,5,4,69,2
5,77,No,7,0,62,2
5,91,Yes,4,8,75,1
2,62,Yes,9,4,40,2
3,68,No,7,3,43,2
7,54,Yes,4,5,42,2
6,98,No,4,4,84,1
2,42,No,4,0,15,3
6,49,No,9,1,39,3
2,54,No,5,3,26,3
2,95,No,9,7,73,1
2,55,No,9,4,34,3
3,56,Yes,7,6,34,3
2,58,Yes,6,1,37,3
4,50,Yes,6,7,34,3
9,87,No,6,4,85,1
6,44,Yes,7,3,31,3
1,44,No,8,8,18,3
8,97,Yes,7,5,92,0
7,53,No,4,3,44,2
3,89,No,9,7,72,1
1,65,No,8,2,40,2
5,47,No,4,9,31,3
4,44,No,9,1,25,3
8,46,Yes,9,6,44,2
1,55,No,4,3,27,3
1,94,Yes,7,3,66,2
4,53,No,6,9,34,3
8,76,No,8,8,70,1
5,95,No,9,1,81,1
2,80,Yes,5,0,56,2
6,43,No,9,6,30,3
5,75,Yes,6,7,60,2
2,87,No,9,2,64,2
3,95,Yes,5,1,74,1
9,56,Yes,7,3,52,2
7,86,Yes,9,1,84,1
7,75,No,8,1,66,2
6,45,No,7,4,32,3
8,55,Yes,5,9,47,2
4,68,No,4,4,51,2
8,75,No,9,7,67,2
4,77,No,7,8,57,2
8,76,Yes,9,1,71,1
9,87,Yes,8,0,86,1
3,96,No,9,2,77,1
3,87,Yes,7,5,72,1
2,49,No,6,4,24,3
3,80,No,7,7,60,2
3,75,Yes,5,7,55,2
5,68,Yes,7,1,54,2
5,53,No,8,8,39,3
2,43,No,7,3,19,3
6,83,No,7,0,68,2
5,95,Yes,8,1,83,1
6,81,Yes,7,5,72,1
1,75,No,8,4,49,2
5,89,No,5,6,74,1
9,84,Yes,8,8,86,1
2,52,No,5,5,26,3
1,85,Yes,5,5,60,2
9,57,Yes,8,1,54,2
9,72,No,7,6,73,1
9,60,No,9,1,61,2
6,55,Yes,6,6,45,2
8,54,No,9,7,57,2
1,93,Yes,8,0,68,2
4,96,Yes,7,8,72,1
1,44,Yes,5,7,17,3
8,45,No,4,8,37,3
1,77,No,6,4,54,2
3,42,No,9,3,22,3
4,87,Yes,7,0,73,1
8,51,Yes,6,8,47,2
6,75,Yes,4,3,63,2
7,72,Yes,4,3,63,2
8,75,No,4,3,68,2
2,72,No,9,1,52,2
8,70,No,8,3,64,2
3,60,Yes,6,1,38,3
7,66,Yes,8,7,60,2
3,66,No,4,6,45,2
7,47,Yes,7,9,39,3
2,95,No,4,1,75,1
6,76,Yes,8,1,67,2
3,71,Yes,4,1,48,2
3,65,Yes,4,0,44,2
9,41,Yes,8,5,37,3
7,51,Yes,8,5,41,2
5,61,No,7,0,47,2
7,56,No,8,0,45,2
9,46,No,7,5,43,2
1,82,Yes,5,5,54,2
7,43,No,5,3,32,3
6,76,No,8,2,64,2
9,77,Yes,4,8,74,1
1,71,Yes,6,5,50,2
4,50,No,4,0,33,3
9,40,No,8,2,36,3
4,64,No,7,0,45,2
3,81,No,4,2,58,2
9,91,No,5,1,85,1
2,63,Yes,9,4,41,2
4,92,No,8,2,78,1
6,82,No,4,6,63,2
2,95,No,9,7,76,1
8,56,No,4,6,51,2
8,47,No,7,1,36,3
1,98,No,7,9,74,1
3,84,Yes,7,9,65,2
9,66,Yes,9,6,65,2
5,91,Yes,6,9,79,1
6,57,No,9,2,46,2
4,66,No,8,6,47,2
2,61,Yes,8,0,42,2
8,55,No,5,1,46,2
6,41,No,5,9,34,3
5,44,No,8,0,27,3
9,57,Yes,4,8,52,2
1,42,Yes,8,1,17,3
5,66,Yes,6,1,53,2
6,93,No,5,5,84,1
5,56,Yes,5,6,39,3
6,55,Yes,9,1,44,2
6,45,Yes,5,3,36,3
7,90,No,8,2,81,1
4,46,Yes,5,4,30,3
8,89,Yes,5,8,80,1
7,53,No,9,1,41,2
9,77,Yes,8,4,77,1
7,79,No,4,7,69,2
3,54,No,5,5,34,3
3,86,Yes,5,3,64,2
8,86,Yes,5,9,78,1
5,87,Yes,6,7,74,1
4,72,No,8,2,52,2
8,82,Yes,5,3,76,1
6,66,Yes,6,8,53,2
2,68,Yes,4,4,46,2
4,96,No,4,5,77,1
4,76,No,9,1,59,2
6,44,No,9,8,35,3
6,68,Yes,9,7,61,2
1,71,Yes,6,6,46,2
8,99,No,4,8,97,0
6,92,Yes,9,4,86,1
3,45,Yes,7,4,24,3
9,41,No,9,8,37,3
2,45,No,4,4,18,3
8,85,No,7,8,84,1
3,82,Yes,6,0,59,2
5,43,Yes,7,9,29,3
6,95,Yes,4,9,84,1
6,68,No,5,7,60,2
4,98,No,7,2,78,1
3,64,Yes,4,7,46,2
4,48,No,9,4,31,3
1,95,No,5,1,68,2
4,42,Yes,6,8,25,3
1,65,No,6,3,37,3
1,87,Yes,8,6,62,2
6,82,No,6,7,69,2
5,66,Yes,8,6,50,2
4,75,No,6,5,55,2
3,71,Yes,6,6,54,2
1,40,No,6,3,12,3
6,96,No,8,9,88,1
2,92,No,9,0,69,2
8,93,No,8,4,88,1
5,55,No,7,7,41,2
7,90,Yes,4,9,83,1
2,87,Yes,4,5,62,2
8,50,Yes,9,4,45,2
2,65,No,4,1,42,2
4,79,Yes,6,9,65,2
1,94,No,9,4,73,1
5,40,No,4,9,23,3
9,65,Yes,8,2,61,2
1,67,Yes,7,1,41,2
9,92,No,5,2,85,1
8,97,No,7,3,93,0
6,48,Yes,4,1,35,3
7,99,Yes,9,3,92,0
3,98,No,4,3,79,1
1,83,No,8,5,57,2
5,61,Yes,7,4,49,2
2,47,No,8,6,28,3
5,97,No,8,6,85,1
8,88,Yes,5,2,82,1
9,81,Yes,8,8,80,1
2,66,No,8,6,41,2
3,78,No,5,6,57,2
3,58,Yes,6,1,41,2
1,64,No,6,9,43,2
8,77,Yes,9,2,73,1
6,60,No,5,2,46,2
8,63,Yes,9,5,61,2
9,63,No,9,3,61,2
5,99,No,8,3,87,1
3,99,No,9,0,78,1
5,58,Yes,4,5,43,2
5,89,Yes,7,7,75,1
5,86,Yes,4,7,72,1
3,41,No,4,7,18,3
4,53,No,8,4,36,3
9,92,Yes,7,9,92,0
9,71,Yes,9,5,71,1
2,81,No,7,4,58,2
8,71,No,9,3,69,2
8,67,No,6,3,58,2
7,87,No,5,3,74,1
8,78,Yes,8,3,72,1
3,79,Yes,9,5,61,2
6,81,No,9,5,74,1
1,86,No,7,4,60,2
7,79,No,8,8,70,1
1,52,Yes,9,7,27,3
9,51,Yes,6,9,49,2
1,47,No,4,5,17,3
1,54,No,9,8,34,3
7,65,No,7,4,51,2
2,51,No,6,9,27,3
5,82,No,8,3,67,2
8,90,No,9,5,84,1
8,85,Yes,6,3,81,1
3,66,Yes,6,7,45,2
7,57,Yes,6,6,50,2
3,84,No,6,4,67,2
6,75,No,6,9,67,2
6,88,No,6,5,77,1
3,90,Yes,5,6,70,1
7,66,No,8,1,59,2
3,48,Yes,4,8,27,3
8,94,No,8,6,88,1
4,78,No,7,7,60,2
1,40,No,7,4,14,3
4,46,Yes,8,2,27,3
7,65,Yes,6,1,54,2
4,46,Yes,5,1,32,3
6,91,No,4,2,79,1
9,46,Yes,9,0,44,2
1,47,No,9,0,20,3
5,55,No,6,6,42,2
7,42,Yes,8,9,33,3
1,84,Yes,9,7,58,2
4,49,No,8,5,31,3
6,89,No,5,6,75,1
2,46,No,5,0,22,3
5,60,No,8,0,46,2
1,92,Yes,6,8,68,2
6,76,Yes,6,4,66,2
6,70,Yes,6,6,60,2
4,62,No,9,5,44,2
8,96,No,4,3,90,0
4,66,No,4,0,47,2
8,95,Yes,6,3,88,1
8,61,No,8,9,56,2
5,78,No,5,9,66,2
4,96,Yes,7,7,78,1
2,66,Yes,5,0,43,2
3,93,No,5,1,72,1
3,88,Yes,7,7,69,2
4,43,No,6,1,24,3
4,63,Yes,5,9,47,2
5,62,No,7,8,45,2
4,87,Yes,9,2,72,1
8,58,Yes,8,2,51,2
6,81,Yes,8,5,73,1
6,42,Yes,8,2,28,3
8,66,No,6,8,56,2
7,42,No,5,7,29,3
8,67,Yes,5,3,60,2
2,56,No,4,5,28,3
9,70,Yes,8,7,66,2
1,49,Yes,6,3,21,3
8,88,No,7,4,84,1
4,61,No,6,6,42,2
4,69,No,5,7,51,2
5,88,No,8,6,74,1
8,60,No,4,7,50,2
5,75,No,9,3,62,2
8,92,No,6,0,90,0
1,62,Yes,4,5,32,3
9,77,No,5,4,71,1
6,51,Yes,7,3,37,3
3,64,No,6,1,42,2
8,93,No,9,0,85,1
9,96,Yes,5,8,96,0
6,59,Yes,8,1,51,2
7,88,Yes,6,8,82,1
1,88,Yes,4,5,64,2
5,81,No,6,5,67,2
5,46,No,5,1,32,3
4,68,Yes,5,5,50,2
6,87,Yes,4,2,73,1
7,68,No,9,6,62,2
9,52,No,5,9,48,2
1,42,Yes,6,3,20,3
6,41,No,9,8,33,3
7,55,No,4,4,43,2
3,69,Yes,5,9,49,2
8,77,Yes,5,2,70,1
5,45,Yes,6,0,28,3
9,84,Yes,5,0,82,1
5,46,No,6,3,29,3
9,44,Yes,8,9,42,2
4,95,No,9,9,79,1
